sample_sets,roundtrip_primary,roundtrip_secondary,artifact,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,pylingual,pylingual_level,decompyle3,decompyle3_level
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/lfedu/0.0.1/lfedu-0.0.1.tar.gz,tar,lfedu-0.0.1/.venv/lib/python3.8/site-packages/setuptools/command/__pycache__/upload.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/bin/__pycache__/rst2odt_prepstyles.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/best-package/0.1.1/best-package-0.1.1.tar.gz,tar,best-package-0.1.1/best_package/d_utils/__pycache__/tools.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/moto-improved-cognitoidentity/1.3/moto-improved-cognitoidentity-1.3.tar.gz,tar,moto-improved-cognitoidentity-1.3/tests/test_opsworks/__pycache__/test_apps.cpython-38-pytest-7.2.0.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/simo/3.5.42/simo-3.5.42-py3-none-any.whl,wheel,simo/core/migrations/__pycache__/0017_auto_20231004_1313.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/buildingspy/5.2.0/buildingspy-5.2.0-py3-none-any.whl,wheel,buildingspy/thirdParty/dymat/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/tracardi/0.6.26/tracardi-0.6.26-py3-none-any.whl,wheel,tracardi/process_engine/action/v1/connectors/mongo/query/model/__pycache__/client.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/oracle-ml-insights/1.3.1/oracle_ml_insights-1.3.1-py38-none-any.whl,wheel,mlm_insights/tests/test_suites/__init__.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/requests_toolbelt/adapters/__pycache__/appengine.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/multiqc-vlad/1.30.dev20250821143134/multiqc_vlad-1.30.dev20250821143134.tar.gz,tar,multiqc_vlad-1.30.dev20250821143134/multiqc/modules/busco/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/requests_toolbelt/cookies/__pycache__/forgetful.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/tracardi/0.6.26/tracardi-0.6.26.tar.gz,tar,tracardi-0.6.26/tracardi/service/storage/drivers/elastic/__pycache__/flow.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/garpix-order/1.0.0rc9/garpix_order-1.0.0rc9.tar.gz,tar,garpix_order-1.0.0rc9/garpix_order/serializers/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/uniqgift-custom/1.0.7/uniqgift_custom-1.0.7-py3-none-any.whl,wheel,django/conf/locale/bs/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/spatial-autocorrelation/0.0.1a0/spatial_autocorrelation-0.0.1a0.tar.gz,tar,spatial_autocorrelation-0.0.1a0/__pycache__/moransI.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/xml-api/0.0.6/xml_api-0.0.6.tar.gz,tar,xml_api-0.0.6/xml_api/exception/__pycache__/my_assertion_error.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/moto-improved-cognitoidentity/1.3/moto-improved-cognitoidentity-1.3.tar.gz,tar,moto-improved-cognitoidentity-1.3/tests/test_athena/__pycache__/test_athena_server_api.cpython-38-pytest-7.2.0.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/lfedu/0.0.1/lfedu-0.0.1.tar.gz,tar,lfedu-0.0.1/.venv/lib/python3.8/site-packages/requests/__pycache__/hooks.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
