artifact,package,version,artifact_type,source_less_pyc,total_pyc_in_artifact,source_less_pyc_pct_in_artifact,python_tags,top_level_paths,source_recoverable_pyc,source_recoverable_pct,dynamic_loading_indicator,dynamic_load_hits,keyword_categories,security_keyword_indicator
reviewboardpowerpack-6.0-cp310-none-any.whl,reviewboardpowerpack,6.0,wheel,158,158,100.00,cpython-310,rbpowerpack;beanbag_licensing,158,100.00,False,0,data;network;plugin;security,yes
sf_pipelines_test-0.3.0.tar.gz,sf-pipelines-test,0.3.0,tar,158,229,69.00,cpython-310;cpython-311,sf_pipelines_test-0.3.0,158,100.00,False,0,cli;data;testing,no
sf_pipelines_test2-0.1.0.tar.gz,sf-pipelines-test2,0.1.0,tar,158,229,69.00,cpython-310;cpython-311,sf_pipelines_test2-0.1.0,158,100.00,False,0,cli;data;testing,no
lybase-1.0.284-py3-none-any.whl,lybase,1.0.284,wheel,146,146,100.00,cpython-310,util;lybase,146,100.00,False,0,build;data;ml;network;security,yes
qtica-0.6.0.tar.gz,qtica,0.6.0,tar,102,259,39.38,cpython-310;cpython-312,qtica-0.6.0,102,100.00,True,3,network,no
shiyunzi-3.1.29-py2.py3-none-any.whl,shiyunzi,3.1.29,wheel,93,99,93.94,cpython-313,shiyunzi,93,100.00,False,0,ml;network;security,yes
mossflow-0.1.132-py3-none-any.whl,mossflow,0.1.132,wheel,91,124,73.39,cpython-312,mossflow,91,100.00,False,0,ml,no
x_python-1.5.3.tar.gz,x-python,1.5.3,tar,89,89,100.00,cpython-310;cpython-38;cpython-39,x_python-1.5.3,89,100.00,True,26,testing,no
ydata_fabric_sdk-1.1.5-py310-none-any.whl,ydata-fabric-sdk,1.1.5,wheel,87,87,100.00,cpython-310,ydata,87,100.00,False,0,data;ml;network,no
isage_tools-0.2.4.13-cp311-none-any.whl,isage-tools,0.2.4.13,wheel,85,121,70.25,cpython-311,sage,85,100.00,True,1,build;cli;data;ml;network;testing,no
isagellm_core-0.5.4.26-py2.py3-none-any.whl,isagellm-core,0.5.4.26,wheel,82,105,78.10,cpython-311,sagellm_core,82,100.00,False,0,ml;network;plugin,no
isagellm_core-0.5.4.26.tar.gz,isagellm-core,0.5.4.26,tar,82,105,78.10,cpython-311,isagellm_core-0.5.4.26,82,100.00,False,0,ml;network;plugin,no
isagellm_backend-0.5.4.17-py2.py3-none-any.whl,isagellm-backend,0.5.4.17,wheel,74,91,81.32,cpython-311,sagellm_backend,74,100.00,False,0,data;ml,no
isagellm_backend-0.5.4.17.tar.gz,isagellm-backend,0.5.4.17,tar,74,91,81.32,cpython-311,isagellm_backend-0.5.4.17,74,100.00,False,0,data;ml,no
decompyle3-3.9.3.tar.gz,decompyle3,3.9.3,tar,71,96,73.96,cpython-38,decompyle3-3.9.3,71,100.00,True,13,testing,no
pi4-0.5.0-py3-none-any.whl,pi4,0.5.0,wheel,71,71,100.00,cpython-39,pi,71,100.00,False,0,data;ml;network,no
RenRen_Shop-1.0.7.tar.gz,renren-shop,1.0.7,tar,66,66,100.00,cpython-310;cpython-39,RenRen_Shop-1.0.7,66,100.00,False,0,data;network,no
RenRenMall-0.1.0.tar.gz,renrenmall,0.1.0,tar,66,66,100.00,cpython-310;cpython-39,RenRenMall-0.1.0,66,100.00,False,0,data;network,no
sevals-0.0.3-py3-none-any.whl,sevals,0.0.3,wheel,63,103,61.17,cpython-39,lm_eval,63,100.00,True,3,data;testing,no
sevals-0.0.3.tar.gz,sevals,0.0.3,tar,63,103,61.17,cpython-39,sevals-0.0.3,63,100.00,True,3,data;testing,no
tinyshare-0.1028.0-py3-none-any.whl,tinyshare,0.1028.0,wheel,63,63,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,tinyshare,63,100.00,True,3,network;security,yes
tinyshare-0.1028.0.tar.gz,tinyshare,0.1028.0,tar,63,63,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,tinyshare-0.1028.0,63,100.00,True,3,network;security,yes
zuper_commons_z7-7.3.2507061617-py312-none-any.whl,zuper-commons-z7,7.3.2507061617,wheel,62,62,100.00,cpython-312,zuper_commons,62,100.00,False,0,data;testing,no
codespeak-0.1.7.tar.gz,codespeak,0.1.7,tar,59,108,54.63,cpython-310,codespeak-0.1.7,59,100.00,True,1,network,no
recycling-1.1.0.tar.gz,recycling,1.1.0,tar,57,229,24.89,cpython-310;cpython-311,recycling-1.1.0,57,100.00,False,0,build;network,no
minishare-0.1005.0-py3-none-any.whl,minishare,0.1005.0,wheel,56,56,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,minishare,56,100.00,True,3,security,yes
minishare-0.1005.0.tar.gz,minishare,0.1005.0,tar,56,56,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,minishare-0.1005.0,56,100.00,True,3,security,yes
oidc_provider-2.3.4.tar.gz,oidc-provider,2.3.4,tar,54,99,54.55,cpython-38,oidc_provider-2.3.4,54,100.00,False,0,data;network;security;testing,yes
qsi_tk-1.4.1-py3-none-any.whl,qsi-tk,1.4.1,wheel,54,54,100.00,cpython-311;cpython-39,qsi,54,100.00,False,0,data,no
softwareai-0.5.73-py3-none-any.whl,softwareai,0.5.73,wheel,54,144,37.50,cpython-39,softwareai,54,100.00,True,2,ml;network;testing,no
softwareai-0.5.73.tar.gz,softwareai,0.5.73,tar,54,144,37.50,cpython-39,softwareai-0.5.73,54,100.00,True,2,ml;network;testing,no
mathfortranb-0.0.2.tar.gz,mathfortranb,0.0.2,tar,52,52,100.00,cpython-311,mathfortranb-0.0.2,52,100.00,False,0,build,no
gptvm-0.1.3-py310-none-any.whl,gptvm,0.1.3,wheel,51,51,100.00,cpython-310,gptvm,51,100.00,False,0,cli;network;security,yes
