input,input_type,files_total,py_files,pyc_files,pycache_dirs,source_less_pyc,has_bytecode,has_dynamic_loading,dynamic_load_hits,magic_numbers,pyc_versions,errors
data/artifacts/pypi/cinesdk/0.0.2/cinesdk-0.0.2-py3-none-any.whl,wheel,9,5,0,0,0,False,False,0,,,
data/artifacts/pypi/cinesdk/0.0.2/cinesdk-0.0.2.tar.gz,tar,19,5,0,0,0,False,False,0,,,
data/artifacts/pypi/civitai-model-downloader/0.4.7/civitai_model_downloader-0.4.7-py3-none-any.whl,wheel,45,39,0,0,0,False,False,0,,,
data/artifacts/pypi/civitai-model-downloader/0.4.7/civitai_model_downloader-0.4.7.tar.gz,tar,65,41,0,0,0,False,False,0,,,
data/artifacts/pypi/cleverbotfreeapi/1.1.1/cleverbotfreeapi-1.1.1-py3-none-any.whl,wheel,7,2,0,0,0,False,False,0,,,
data/artifacts/pypi/cleverbotfreeapi/1.1.1/cleverbotfreeapi-1.1.1.tar.gz,tar,17,3,0,0,0,False,False,0,,,
data/artifacts/pypi/clickable-ut/8.8.0/clickable_ut-8.8.0-py3-none-any.whl,wheel,95,84,0,0,0,False,False,0,,,
data/artifacts/pypi/clickable-ut/8.8.0/clickable_ut-8.8.0.tar.gz,tar,152,86,0,0,0,False,False,0,,,
data/artifacts/pypi/clickdetect/1.14.0/clickdetect-1.14.0-py3-none-any.whl,wheel,50,39,0,0,0,False,True,2,,,
data/artifacts/pypi/clickdetect/1.14.0/clickdetect-1.14.0.tar.gz,tar,49,39,0,0,0,False,True,2,,,
data/artifacts/pypi/clyrdia-cli/2.0.1/clyrdia_cli-2.0.1-py3-none-any.whl,wheel,25,19,0,0,0,False,False,0,,,
data/artifacts/pypi/clyrdia-cli/2.0.1/clyrdia_cli-2.0.1.tar.gz,tar,40,20,0,0,0,False,False,0,,,
data/artifacts/pypi/cm-poem/1.0.1/cm_poem-1.0.1.tar.gz,tar,14,3,0,0,0,False,False,0,,,
